Month,Day,Day of Week,Auto,Bus,Truck,RV/Limo,Total Vehicles,,,,,,,,,,,,,,,,,,
March,15,Sunday,"3,210",3,237,4,"3,454",,,,,,,,,,,,,,,,,,
March,16,Monday,"2,970",4,1106,6,"4,086",,,,,,,,,,,,,,,,,,
March,17,Tuesday,"2,265",5,1373,4,"3,647",,,,,,,,,,,,,,,,,,
March,18,Wednesday,"1,870",3,1434,6,"3,313",,,,,,,,,,,,,,,,,,
March,19,Thursday,"1,522",0,1339,1,"2,862",,,,,,,,,,,,,,,,,,
March,20,Friday,"1,631",1,1350,17,"2,999",,,,,,,,,,,,,,,,,,
March,21,Saturday,782,0,499,3,"1,284",,,,,,,,,,,,,,,,,,
March,22,Sunday,543,0,211,8,762,,,,,,,,,,,,,,,,,,
March,23,Monday,481,0,919,6,"1,406",,,,,,,,,,,,,,,,,,
March,24,Tuesday,447,0,1190,4,"1,641",,,,,,,,,,,,,,,,,,
March,25,Wednesday,378,0,1243,2,"1,623",,,,,,,,,,,,,,,,,,
March,26,Thursday,363,0,1153,6,"1,522",,,,,,,,,,,,,,,,,,
March,27,Friday,364,0,1167,4,"1,535",,,,,,,,,,,,,,,,,,
March,28,Saturday,197,0,387,2,586,,,,,,,,,,,,,,,,,,
March,29,Sunday,163,0,165,2,330,,,,,,,,,,,,,,,,,,
March,30,Monday,258,0,900,3,"1,161",,,,,,,,,,,,,,,,,,
March,31,Tuesday,298,69,1050,1,"1,418",,,,,,,,,,,,,,,,,,
April,1,Wednesday,261,1,1090,2,"1,354",,,,,,,,,,,,,,,,,,
April,2,Thursday,287,0,1027,2,"1,316",,,,,,,,,,,,,,,,,,
April,3,Friday,295,0,1114,2,"1,411",,,,,,,,,,,,,,,,,,
April,4,Saturday,155,0,345,1,501,,,,,,,,,,,,,,,,,,
April,5,Sunday,115,0,165,0,280,,,,,,,,,,,,,,,,,,
April,6,Monday,236,0,870,1,"1,107",,,,,,,,,,,,,,,,,,
April,7,Tuesday,249,0,1081,2,"1,332",,,,,,,,,,,,,,,,,,
April,8,Wednesday,253,0,1132,1,"1,386",,,,,,,,,,,,,,,,,,
April,9,Thursday,239,0,1090,2,"1,331",,,,,,,,,,,,,,,,,,
April,10,Friday,178,0,613,0,791,,,,,,,,,,,,,,,,,,
April,11,Saturday,125,0,216,0,341,,,,,,,,,,,,,,,,,,
April,12,Sunday,80,0,105,2,187,,,,,,,,,,,,,,,,,,
April,13,Monday,188,0,731,1,920,,,,,,,,,,,,,,,,,,
April,14,Tuesday,234,0,987,1,"1,222",,,,,,,,,,,,,,,,,,
April,15,Wednesday,244,0,1088,3,"1,335",,,,,,,,,,,,,,,,,,
April,16,Thursday,244,0,1021,1,"1,266",,,,,,,,,,,,,,,,,,
April,17,Friday,258,1,1046,2,"1,307",,,,,,,,,,,,,,,,,,
April,18,Saturday,135,0,337,3,475,,,,,,,,,,,,,,,,,,
April,19,Sunday,92,0,139,0,231,,,,,,,,,,,,,,,,,,
April,20,Monday,225,0,792,1,"1,018",,,,,,,,,,,,,,,,,,
April,21,Tuesday,266,0,1031,1,"1,298",,,,,,,,,,,,,,,,,,
